Filename,Width,Height,Format,Mode
image1.jpeg,191,180,JPEG,RGB
istockphoto.jpg,1024,680,JPEG,RGB
istockphoto1.jpg,1024,681,JPEG,RGB
istockphoto2.jpg,1024,683,JPEG,RGB
