title,link,summary,date
Готував теракт на Одещині: затримано 20-річного агента ФСБ,https://ua.korrespondent.net/city/odessa/4761092-hotuvav-terakt-na-odeschyni-zatrymano-20-richnoho-ahenta-fsb,"Російського агента затримали за місцем проживання, коли він намагався позбутися речових доказів.Одеса- 5 березня 2025, 10:14",2025-03-05 10:14
Гірн оцінив можливість бою Джошуа проти Баколе,https://ua.korrespondent.net/sport/boks/4761088-hirn-otsinyv-mozhlyvist-boui-dzhoshua-proty-bakole,"Промоутер назвав головний недолік проведення такого поєдинку.Новини боксу- 5 березня 2025, 09:50",2025-03-05 09:50
СюжетЗолотий купол і багатство. Заяви Трампа у Конгресі,https://ua.korrespondent.net/world/4761089-zolotyi-kupol-i-bahatstvo-zaiavy-trampa-u-konhresi,"""Золотий вік Америки тільки починається. Він буде таким, як ніхто не бачив"", - пообіцяв Трамп з трибуни Конгресу.Новини світу- 5 березня 2025, 10:26",2025-03-05 10:26
"Війська РФ наступають в бік Привільнього, тривають важкі бої - ЗСУ",https://ua.korrespondent.net/ukraine/4761087-viiska-rf-nastupauit-v-bik-pryvilnoho-tryvauit-vazhki-boi-zsu,"Тривають важкі бої на Новопавлівському напрямку. Окупанти атакують українські оборонні укріплення.Новини України- 5 березня 2025, 10:06",2025-03-05 10:06
Алек Болдвін хотів вчинити самогубство після загибелі Галини Гатчінс,https://ua.korrespondent.net/lifestyle/4761086-alek-boldvin-khotiv-vchynyty-samohubstvo-pislia-zahybeli-halyny-hatchins,"Дружина актора Іларія Болдвін зізналася, що після смертельної стрілянини на зйомках фільму Іржа її чоловік впав у глибоку депресію та писав їй про суїцидальні думки.Lifestyle&Fashion- 5 березня 2025, 10:07",2025-03-05 10:07
Disney скасувала серіал про темношкіру принцесу Тіану,https://ua.korrespondent.net/showbiz/cinema/4761081-Disney-skasuvala-serial-pro-temnoshkiru-pryntsesu-tianu,"Walt Disney Animation Studios припинила роботу над анімаційним серіалом Тіана, який мав стати спін-оффом Принцеси і жаби.Кіно новини- 5 березня 2025, 09:53",2025-03-05 09:53
США обмежили передачу розвідувальних даних Україні - ЗМІ,https://ua.korrespondent.net/world/4761077-ssha-obmezhyly-peredachu-rozviduvalnykh-danykh-ukraini-zmi,"США заборонили Великій Британії ділитися з Києвом даними, отриманими з Вашингтона. Ці дані відомі як RelUKR.Новини світу- 5 березня 2025, 09:42",2025-03-05 09:42
Особливе місце для мене: Зінченко прокоментував перемогу над ПСВ,https://ua.korrespondent.net/sport/football/4761072-osoblyve-mistse-dlia-mene-zinchenko-prokomentuvav-peremohu-nad-psv,"Українець згадав період гри за нідерландську команду.Новини футболу- 5 березня 2025, 09:25",2025-03-05 09:25
Міллі Боббі Браун відповіла хейтерам щодо зовнішності,https://ua.korrespondent.net/lifestyle/4761075-milli-bobbi-braun-vidpovila-kheiteram-schodo-zovnishnosti,"Акторка Міллі Боббі Браун різко відповіла критикам, які засуджують її за ""надто дорослий"" вигляд.Lifestyle&Fashion- 5 березня 2025, 09:42",2025-03-05 09:42
Китай зробив офіційну заяву після підвищення мит з боку США,https://ua.korrespondent.net/business/economics/4761074-kytai-zrobyv-ofitsiinu-zaiavu-pislia-pidvyschennia-myt-z-boku-ssha,"Будь то тарифна війна, торгова війна або будь-який інший тип війни Китай ""готовий боротися до кінця"".Новини економіки- 5 березня 2025, 09:38",2025-03-05 09:38
Донька Маска дізналася про нового родича через інтернет,https://ua.korrespondent.net/lifestyle/4761071-donka-maska-diznalasia-pro-novoho-rodycha-cherez-internet,"Донька Ілона Маска відреагувала на новину про народження 14-ї дитини бізнесмена, зазначивши, що щоразу дізнається про нових братів і сестер із соцмереж.Lifestyle&Fashion- 5 березня 2025, 09:30",2025-03-05 09:30
